feature,importance
num_products,7.7276643435252055
add_to_cart_count,6.803123505993642
product_views,6.7659611613979616
cart_value,5.68745326525815
total_events,3.1240335001490425
clicks,1.973834260607632
page_views,1.9252824915375153
logouts,1.9040325731511687
logins,1.899408466854047
avg_time_between_events_sec,0.2568900054172268
session_duration_sec,0.21360027986633928
checkout_started,0.054429724384982864
start_day_of_week,0.029383960641832896
start_hour,0.021835736364709608
bounce_indicator,0.0
