composite_session_id,user_id,session_id,min_timestamp,max_timestamp,total_events,num_products,cart_value,avg_time_between_events_sec,page_views,product_views,clicks,add_to_cart_count,logins,logouts,purchase_count,session_duration_sec,start_hour,start_day_of_week,bounce_indicator,checkout_started,abandoned
1000_1,1000,1,2024-01-28 17:28:43.248189,2024-05-09 09:15:36.590212,7,2,0.0,1463868.8903371666,0,2,2,0,1,2,0,8783213.342023,17,6,0,1,1
1000_10,1000,10,2024-01-12 15:56:53.525921,2024-07-13 15:30:59.991899,8,5,633.2349456792633,2258520.923711143,0,1,0,1,1,2,3,15809646.465978,15,4,0,1,0
1000_2,1000,2,2024-03-11 05:36:56.380303,2024-07-11 12:40:44.578010,8,3,0.0,1509461.1711010002,1,3,2,0,0,2,0,10566228.197707,5,0,0,0,1
1000_3,1000,3,2024-01-09 23:22:02.582045,2024-07-10 09:34:52.379949,7,5,0.0,2626928.299650667,0,3,0,2,2,0,0,15761569.797904,23,1,0,1,1
1000_4,1000,4,2024-01-07 23:49:08.108428,2024-06-21 21:02:44.645186,10,3,184.5400216248512,1592490.7263064445,1,2,2,0,2,2,1,14332416.536758,23,6,0,1,0
1000_5,1000,5,2024-01-30 00:43:58.274145,2024-07-21 05:48:07.728611,10,5,478.6184593079041,1662827.717162889,0,1,2,3,3,0,1,14965449.454466,0,1,0,1,0
1000_6,1000,6,2024-01-14 03:04:19.274060,2024-05-08 09:40:35.106572,5,2,691.2135626896276,2489943.958128,2,0,1,0,0,0,2,9959775.832512,3,6,0,0,0
1000_7,1000,7,2024-01-03 15:54:55.591340,2024-04-24 13:23:55.144723,10,7,489.9795982396366,1074193.2837092222,1,2,2,2,0,0,3,9667739.553383,15,2,0,1,0
1000_8,1000,8,2024-01-04 19:27:32.361552,2024-07-15 08:49:32.723612,10,4,417.71400910775986,1848546.7068955556,0,0,1,2,1,4,2,16636920.36206,19,3,0,1,0
1000_9,1000,9,2024-02-14 12:25:32.646417,2024-06-11 11:56:32.609591,7,3,161.1752397921102,1698909.9938623335,0,0,0,1,1,3,2,10193459.963174,12,2,0,1,0
100_1,100,1,2024-03-09 03:24:00.268072,2024-07-03 10:45:04.426109,8,4,133.62052193552262,1435552.0225767142,1,1,0,2,0,3,1,10048864.158037,3,5,0,1,0
100_10,100,10,2024-01-16 08:25:01.858068,2024-06-09 00:05:36.784251,6,1,0.0,2499606.9852366,0,1,1,0,2,2,0,12498034.926183,8,1,0,1,1
100_2,100,2,2024-02-16 04:36:19.132802,2024-07-21 05:27:00.061514,8,4,0.0,1925920.1326731427,1,4,0,0,0,3,0,13481440.928712,4,4,0,0,1
100_3,100,3,2024-02-13 15:47:43.964624,2024-07-17 07:35:48.796090,9,5,359.46301611277306,1670310.60393325,2,2,0,1,1,1,2,13362484.831466,15,1,0,1,0
100_4,100,4,2024-01-10 13:45:30.017686,2024-07-20 02:05:54.393124,6,4,375.7938755499503,3309364.8750876,2,3,0,0,0,0,1,16546824.375438,13,2,0,0,0
100_5,100,5,2024-01-01 18:49:13.031574,2024-07-13 20:06:39.173570,7,2,111.90465744887835,2794374.3569993335,1,1,1,0,1,2,1,16766246.141996,18,0,0,1,0
100_6,100,6,2024-01-08 01:07:40.203343,2024-06-18 10:37:45.128013,5,4,536.7277040693173,3507751.2311675,0,1,0,1,0,1,2,14031004.92467,1,0,0,1,0
100_7,100,7,2024-02-09 07:42:47.846494,2024-06-08 13:52:51.802699,10,6,411.44805454795005,1154467.106245,1,3,1,1,2,0,2,10390203.956205,7,4,0,1,0
100_8,100,8,2024-01-04 04:24:32.012022,2024-07-03 02:32:05.683592,8,5,1357.6690422760216,2233093.381652857,0,0,2,1,1,0,4,15631653.67157,4,3,0,1,0
100_9,100,9,2024-01-19 12:19:25.364697,2024-07-24 10:13:04.983908,9,5,304.8870861230802,2018652.452401375,1,0,1,3,0,2,2,16149219.619211,12,4,0,1,0
101_1,101,1,2024-02-17 20:07:30.171000,2024-05-31 08:34:33.525296,5,1,244.5567584931324,2236005.8385739997,2,0,1,0,1,0,1,8944023.354296,20,5,0,1,0
101_10,101,10,2024-01-07 09:08:56.403288,2024-07-24 07:37:22.603563,10,6,387.52843893942213,1909789.5778083333,2,3,0,1,2,0,2,17188106.200275,9,6,0,1,0
101_2,101,2,2024-04-05 10:07:15.354998,2024-07-22 21:43:44.551846,5,4,691.9557472187157,2343247.299212,0,0,1,1,0,0,3,9372989.196848,10,4,0,1,0
101_3,101,3,2024-01-30 01:20:42.378979,2024-07-15 12:54:55.714805,9,4,8.278621539905036,1808806.66697825,1,1,2,2,0,2,1,14470453.335826,1,1,0,1,0
101_4,101,4,2024-01-17 16:28:32.979368,2024-07-17 11:19:44.274143,7,5,659.8786452287484,2617711.8824625,0,1,0,1,0,2,3,15706271.294775,16,2,0,1,0
101_5,101,5,2024-01-02 23:53:55.015078,2024-07-20 11:54:52.559750,9,2,0.0,2154607.193084,1,1,1,1,3,2,0,17236857.544672,23,1,0,1,1
101_6,101,6,2024-03-04 21:43:19.044061,2024-07-19 03:26:00.001199,6,3,0.0,2354192.1914276,2,1,0,2,0,1,0,11770960.957138,21,0,0,1,1
101_7,101,7,2024-01-19 19:45:08.640203,2024-07-09 22:54:09.225438,8,5,834.9072402766418,2124591.5121764285,1,1,1,0,0,1,4,14872140.585235,19,4,0,0,0
101_8,101,8,2024-02-13 18:09:36.690615,2024-07-21 16:31:22.957326,9,1,0.0,1716463.283338875,2,0,3,1,2,1,0,13731706.266711,18,1,0,1,1
101_9,101,9,2024-02-18 22:02:12.716336,2024-07-14 15:07:02.334807,8,3,230.19105393045288,1810841.3740672858,0,1,1,1,3,1,1,12675889.618471,22,6,0,1,0
102_1,102,1,2024-01-28 19:45:25.110359,2024-07-18 20:09:22.736768,7,2,0.0,2477039.6044015,1,2,0,0,2,2,0,14862237.626409,19,6,0,1,1
102_10,102,10,2024-01-03 22:09:17.566389,2024-06-11 19:30:30.053910,5,1,0.0,3453618.12188025,1,0,1,1,2,0,0,13814472.487521,22,2,0,1,1
102_2,102,2,2024-03-17 16:38:38.181344,2024-07-16 21:19:32.860209,6,3,857.9943572327577,2094250.9357730001,0,1,1,0,1,1,2,10471254.678865,16,6,0,1,0
102_3,102,3,2024-02-09 14:44:11.262025,2024-07-05 06:14:03.476649,8,1,0.0,1810027.4592320002,2,1,2,0,0,3,0,12670192.214624,14,4,0,0,1
102_4,102,4,2024-01-19 05:17:39.554068,2024-07-10 21:01:02.750752,10,5,482.0929695089219,1667089.2440759998,2,2,2,1,1,0,2,15003803.196684,5,4,0,1,0
102_5,102,5,2024-01-18 13:43:59.963863,2024-06-15 01:38:40.611199,6,3,212.99219997824292,2566016.1294671996,1,0,1,1,1,0,2,12830080.647336,13,3,0,1,0
102_6,102,6,2024-01-02 17:13:04.442181,2024-07-14 15:42:22.816502,9,3,203.78631445053,2094519.7967901248,2,0,1,2,1,2,1,16756158.374321,17,1,0,1,0
102_7,102,7,2024-01-02 14:19:38.085599,2024-07-10 00:09:34.749533,8,1,466.1019716510084,2337856.666276286,1,0,1,0,2,3,1,16364996.663934,14,1,0,1,0
102_8,102,8,2024-01-25 15:01:54.031040,2024-06-15 06:06:52.567954,10,4,648.4917029459656,1359633.1707682223,1,1,1,0,2,2,3,12236698.536914,15,3,0,1,0
102_9,102,9,2024-01-11 14:28:12.253984,2024-07-24 05:55:01.970494,5,2,112.79708900552448,4204302.4291275,0,1,2,0,1,0,1,16817209.71651,14,3,0,1,0
103_1,103,1,2024-01-03 05:54:48.877161,2024-07-23 12:39:58.138530,9,5,0.0,2184638.657671125,3,2,0,3,1,0,0,17477109.261369,5,2,0,1,1
103_10,103,10,2024-01-21 13:21:21.306509,2024-07-18 18:36:59.613084,8,4,0.0,2212076.9009392858,2,3,1,1,1,0,0,15484538.306575,13,6,0,1,1
103_2,103,2,2024-02-26 02:24:11.277305,2024-07-23 05:26:54.988799,6,4,153.58246092545457,2559632.7422987996,0,1,1,2,0,1,1,12798163.711494,2,0,0,1,0
103_3,103,3,2024-01-31 12:54:01.397404,2024-06-28 03:31:30.328336,5,3,496.6976795238496,3209962.232733,2,0,0,2,0,0,1,12839848.930932,12,2,0,1,0
103_4,103,4,2024-01-07 12:47:16.588084,2024-07-03 21:17:12.454240,7,3,134.69432329358077,2568299.311026,2,0,1,2,0,1,1,15409795.866156,12,6,0,1,0
103_5,103,5,2024-01-04 19:28:10.989488,2024-05-30 04:02:17.889123,10,6,478.7235413946814,1405027.4332927777,2,2,0,2,2,0,2,12645246.899635,19,3,0,1,0
103_6,103,6,2024-01-21 15:15:31.953621,2024-07-23 22:57:34.277309,6,2,884.6174831330918,3185064.4647376,1,0,2,0,0,1,2,15925322.323688,15,6,0,0,0
103_7,103,7,2024-01-04 13:58:24.507262,2024-07-12 02:23:15.886881,9,7,507.5411880325386,2046786.422452375,1,1,0,4,1,0,2,16374291.379619,13,3,0,1,0
103_8,103,8,2024-01-10 18:05:14.505943,2024-06-25 05:35:36.958961,7,1,0.0,2397303.7421696666,1,0,1,1,3,1,0,14383822.453018,18,2,0,1,1
103_9,103,9,2024-01-01 16:18:39.528831,2024-06-30 23:57:18.074091,10,6,298.14921984826395,1740657.61614,2,3,0,2,2,0,1,15665918.54526,16,0,0,1,0
104_1,104,1,2024-01-01 14:12:35.759863,2024-07-01 13:01:50.865099,6,3,107.67461170708872,3144111.0210472,0,0,1,2,1,1,1,15720555.105236,14,0,0,1,0
104_10,104,10,2024-04-15 07:30:17.114541,2024-07-05 22:56:46.836222,7,2,210.45258443402005,1175664.9536134999,1,0,2,0,1,1,2,7053989.721681,7,0,0,1,0
104_2,104,2,2024-01-12 08:38:18.700090,2024-06-12 17:35:37.504352,10,6,405.7895874356634,1462782.0893624444,1,0,1,4,0,2,2,13165038.804262,8,4,0,1,0
104_3,104,3,2024-01-13 19:19:50.782173,2024-06-24 13:05:01.586835,5,2,0.0,3515177.7011655,1,0,1,2,1,0,0,14060710.804662,19,5,0,1,1
104_4,104,4,2024-01-13 04:56:04.418972,2024-06-21 01:27:31.341370,6,4,20.914228903548626,2762297.3844796,0,1,2,2,0,0,1,13811486.922398,4,5,0,1,0
104_5,104,5,2024-02-19 01:05:19.741165,2024-06-02 07:14:41.498306,6,4,0.0,1801552.3514282003,1,2,0,2,0,1,0,9007761.757141,1,0,0,1,1
104_6,104,6,2024-01-26 16:36:39.959614,2024-07-20 10:26:11.280256,7,4,0.0,2530695.220107,0,2,1,2,0,2,0,15184171.320642,16,4,0,1,1
104_7,104,7,2024-01-17 20:04:32.842165,2024-07-10 08:11:57.066058,10,3,109.16071726973354,1675249.3582103334,2,1,1,1,2,2,1,15077244.223893,20,2,0,1,0
104_8,104,8,2024-01-15 04:01:08.678916,2024-07-18 09:52:40.668568,8,6,752.8975343162518,2286441.7128074286,0,2,1,2,0,1,2,16005091.989652,4,0,0,1,0
104_9,104,9,2024-01-07 16:36:10.600501,2024-07-19 03:02:27.184474,9,6,0.0,2089097.072996625,1,3,1,3,1,0,0,16712776.583973,16,6,0,1,1
105_1,105,1,2024-02-04 10:21:33.342641,2024-06-26 17:23:57.598059,10,4,1156.7141508581526,1375616.0283797777,4,0,1,0,1,0,4,12380544.255418,10,6,0,1,0
105_10,105,10,2024-01-21 08:40:52.982464,2024-06-19 11:03:55.515153,8,3,213.71062852653108,1852654.647527,1,1,1,1,3,0,1,12968582.532689,8,6,0,1,0
105_2,105,2,2024-01-25 21:06:41.284918,2024-07-21 06:39:18.405819,9,4,176.08849951984314,1915894.640112625,2,1,0,2,2,1,1,15327157.120901,21,3,0,1,0
105_3,105,3,2024-01-06 21:07:35.047268,2024-07-08 09:24:45.188056,7,4,307.9849935627639,2642571.690131333,1,1,0,2,1,1,1,15855430.140788,21,5,0,1,0
105_4,105,4,2024-01-13 05:33:23.927248,2024-07-04 20:34:03.720029,8,4,158.10255676558862,2143034.2561115716,0,2,1,1,2,1,1,15001239.792781,5,5,0,1,0
105_5,105,5,2024-01-06 10:10:54.491199,2024-06-14 12:56:23.016217,7,2,0.0,2305654.7541696667,0,1,2,1,1,2,0,13833928.525018,10,5,0,1,1
105_6,105,6,2024-03-31 05:14:45.425176,2024-07-14 08:51:21.492641,9,3,0.0,1135624.508433125,3,2,1,1,0,2,0,9084996.067465,5,6,0,1,1
105_7,105,7,2024-01-02 21:05:08.570069,2024-07-23 06:30:30.258495,7,1,476.552960220719,2914453.6147376667,0,0,5,0,0,1,1,17486721.688426,21,1,0,0,0
105_8,105,8,2024-01-09 05:38:57.837005,2024-07-15 08:22:37.881064,10,4,0.0,1805891.1160065557,2,4,1,0,3,0,0,16253020.044059,5,1,0,1,1
105_9,105,9,2024-01-05 11:51:16.387548,2024-04-28 15:40:05.323752,6,3,0.0,1972665.7872408,0,1,1,2,0,2,0,9863328.936204,11,4,0,1,1
106_1,106,1,2024-01-07 05:28:12.045373,2024-07-14 11:49:50.082292,7,3,0.0,2725416.3394865,1,1,1,2,2,0,0,16352498.036919,5,6,0,1,1
106_10,106,10,2024-01-09 03:37:18.859347,2024-07-16 22:56:18.093379,10,2,0.0,1822126.5815591114,2,1,0,1,4,2,0,16399139.234032,3,1,0,1,1
106_2,106,2,2024-02-25 15:56:23.187217,2024-07-15 05:29:47.194734,10,4,409.3350443044758,1349422.6675018887,1,1,2,2,2,1,1,12144804.007517,15,6,0,1,0
106_3,106,3,2024-01-30 23:30:42.460646,2024-06-15 14:01:06.731318,9,3,308.94527136978314,1475328.033834,0,0,5,2,0,1,1,11802624.270672,23,1,0,1,0
106_4,106,4,2024-01-02 19:27:01.979568,2024-07-21 19:10:59.032458,9,3,480.9842274070155,2170679.63161125,1,2,1,0,1,3,1,17365437.05289,19,1,0,1,0
106_5,106,5,2024-01-01 03:55:57.793897,2024-07-22 20:18:44.828147,9,4,48.260384928597446,2199770.87928125,1,2,2,1,1,1,1,17598167.03425,3,0,0,1,0
106_6,106,6,2024-01-20 17:15:27.505672,2024-06-04 02:20:07.726777,9,4,151.7269832331233,1462085.027638125,1,1,2,2,1,1,1,11696680.221105,17,5,0,1,0
106_7,106,7,2024-01-11 10:10:17.221536,2024-05-18 06:38:18.208041,10,4,870.7593974355145,1227386.7762783333,2,0,1,1,1,2,3,11046480.986505,10,3,0,1,0
106_8,106,8,2024-01-24 16:00:13.328989,2024-07-04 15:26:36.778001,5,3,403.0321290987073,3498695.862253,0,1,1,0,0,1,2,13994783.449012,16,2,0,0,0
106_9,106,9,2024-01-24 16:03:51.220266,2024-06-03 07:46:16.990816,7,3,271.95732758638485,1881424.295091667,2,0,0,2,1,1,1,11288545.77055,16,2,0,1,0
107_1,107,1,2024-02-12 12:51:39.041869,2024-07-17 17:07:33.502263,7,3,9.126626181295858,2248959.0767323333,2,1,1,1,0,1,1,13493754.460394,12,0,0,1,0
107_10,107,10,2024-03-10 07:50:07.488066,2024-05-11 16:25:20.503107,5,2,603.1649059106422,1346928.25376025,1,0,0,0,0,2,2,5387713.015041,7,6,0,0,0
107_2,107,2,2024-01-16 12:24:02.755002,2024-07-01 03:19:25.306841,6,4,275.8297425020988,2879224.5103678,1,2,0,1,1,0,1,14396122.551839,12,1,0,1,0
107_3,107,3,2024-01-02 18:00:27.149974,2024-07-18 17:05:19.614555,5,2,16.918622097078845,4275973.116145249,1,1,0,0,2,0,1,17103892.464581,18,1,0,1,0
107_4,107,4,2024-01-03 19:42:27.182185,2024-07-05 11:33:21.674991,9,5,0.0,1983531.81160075,2,5,0,0,1,1,0,15868254.492806,19,2,0,1,1
107_5,107,5,2024-01-24 20:19:47.111946,2024-07-22 06:18:52.488118,9,2,380.1825976996371,1937693.1720215,2,1,3,0,0,2,1,15501545.376172,20,2,0,0,0
107_6,107,6,2024-01-03 02:36:46.696929,2024-07-21 19:22:11.343449,10,4,408.17655403836966,1926702.738502222,2,1,1,0,0,3,3,17340324.64652,2,2,0,0,0
107_7,107,7,2024-01-19 04:36:52.608055,2024-06-25 13:13:19.019109,10,2,382.5478177944469,1520242.9345615555,4,1,1,0,2,1,1,13682186.411054,4,4,0,1,0
107_8,107,8,2024-02-03 04:14:17.711200,2024-06-21 17:20:01.014747,6,1,41.274316732546616,2411348.6607094,0,0,2,0,2,1,1,12056743.303547,4,5,0,1,0
107_9,107,9,2024-02-07 19:25:38.427927,2024-07-06 16:20:12.829987,8,3,0.0,1849839.2002942858,1,2,1,1,0,3,0,12948874.40206,19,2,0,1,1
108_1,108,1,2024-01-08 12:22:06.577611,2024-06-11 17:32:12.404709,7,6,0.0,2235100.971183,0,3,0,3,1,0,0,13410605.827098,12,0,0,1,1
108_10,108,10,2024-01-25 22:17:55.861048,2024-07-19 08:08:29.198410,8,4,0.0,2165061.9053374287,2,1,1,3,0,1,0,15155433.337362,22,3,0,1,1
108_2,108,2,2024-01-06 09:24:40.100557,2024-06-26 04:41:14.213075,8,4,226.64951265129682,2120542.0160740004,0,1,2,1,1,1,2,14843794.112518,9,5,0,1,0
108_3,108,3,2024-01-18 02:50:12.907466,2024-07-07 08:12:25.172375,7,4,1140.8586883444227,2465622.0441515,1,0,0,1,1,1,3,14793732.264909,2,3,0,1,0
108_4,108,4,2024-01-02 07:36:49.559764,2024-07-09 09:40:18.478859,7,2,115.67894997497616,2722834.8198491666,1,0,2,1,1,1,1,16337008.919095,7,1,0,1,0
108_5,108,5,2024-01-01 01:24:21.938520,2024-07-01 13:42:17.275039,10,6,0.0,1752119.4818354445,1,3,1,3,1,1,0,15769075.336519,1,0,0,1,1
108_6,108,6,2024-01-02 13:04:56.998251,2024-07-15 15:36:47.334939,7,2,0.0,2809518.389448,1,1,0,1,2,2,0,16857110.336688,13,1,0,1,1
108_7,108,7,2024-01-02 21:48:25.792146,2024-06-28 21:17:21.926967,7,5,71.27181445767117,2562889.3558035,2,2,0,2,0,0,1,15377336.134821,21,1,0,1,0
108_8,108,8,2024-02-15 10:36:03.442166,2024-07-23 02:12:33.730055,8,3,0.0,1958198.6125555714,0,2,3,1,1,1,0,13707390.287889,10,3,0,1,1
108_9,108,9,2024-02-23 16:54:35.947684,2024-07-19 00:19:29.794311,7,2,389.3508278209468,2106848.9744378333,0,1,1,0,3,1,1,12641093.846627,16,4,0,1,0
109_1,109,1,2024-02-20 06:47:16.937592,2024-06-22 14:37:35.401606,9,5,0.0,1331927.30800175,0,2,2,3,0,2,0,10655418.464014,6,1,0,1,1
109_10,109,10,2024-01-30 09:50:34.235676,2024-06-21 13:50:05.805553,10,2,0.0,1374396.8410974445,0,2,3,0,2,3,0,12369571.569877,9,1,0,1,1
109_2,109,2,2024-01-13 23:56:28.474223,2024-05-11 10:54:06.361308,7,4,753.5513823386831,1705776.3145141667,1,2,0,0,1,1,2,10234657.887085,23,5,0,1,0
109_3,109,3,2024-02-20 13:35:49.754187,2024-07-03 02:39:11.092634,10,4,0.0,1282022.3709385556,2,1,2,3,2,0,0,11538201.338447,13,1,0,1,1
109_4,109,4,2024-02-11 20:55:36.684892,2024-06-14 22:46:28.481929,10,5,253.65167853850414,1191139.0885596666,1,2,2,0,1,1,3,10720251.797037,20,6,0,1,0
109_5,109,5,2024-01-26 14:37:12.491893,2024-07-16 22:41:24.504537,8,1,8.13094004668135,2127121.7160920002,2,0,0,0,3,2,1,14889852.012644,14,4,0,1,0
109_6,109,6,2024-02-07 04:56:19.577468,2024-06-06 21:11:46.868121,7,4,801.3115885588549,1737754.5484421665,0,2,1,0,2,0,2,10426527.290653,4,2,0,1,0
109_7,109,7,2024-01-15 12:59:27.911957,2024-06-25 11:11:50.044307,6,2,0.0,2798068.42647,0,0,2,2,0,2,0,13990342.13235,12,0,0,1,1
109_8,109,8,2024-03-18 13:14:34.054885,2024-07-21 16:48:42.483525,7,5,953.5393066790018,1802141.4047733333,0,0,0,2,1,1,3,10812848.42864,13,0,0,1,0
109_9,109,9,2024-02-20 22:01:35.526134,2024-05-30 19:48:47.915020,5,3,0.0,2158008.0972215,0,0,2,3,0,0,0,8632032.388886,22,1,0,1,1
10_1,10,1,2024-01-30 18:00:27.993098,2024-07-18 04:06:30.792952,6,2,0.0,2927592.5599708,0,1,1,1,1,2,0,14637962.799854,18,1,0,1,1
10_10,10,10,2024-01-17 05:28:05.381792,2024-07-23 14:01:59.980161,9,4,656.8225379865999,2034254.3247961248,2,1,0,0,1,2,3,16274034.598369,5,2,0,1,0
10_2,10,2,2024-01-03 07:12:51.729778,2024-07-10 17:54:29.054114,9,2,0.0,2046012.165542,2,2,2,0,2,1,0,16368097.324336,7,2,0,1,1
10_3,10,3,2024-01-05 14:38:44.017395,2024-07-19 22:08:55.572815,10,4,515.274002419323,1884601.2839355555,1,1,1,1,2,2,2,16961411.55542,14,4,0,1,0
10_4,10,4,2024-01-15 18:23:06.937291,2024-05-21 07:53:57.684247,8,5,891.2490947569506,1562150.1067079997,2,2,0,0,0,1,3,10935050.746956,18,0,0,0,0
10_5,10,5,2024-01-04 09:38:35.142039,2024-07-14 06:07:47.354783,7,2,0.0,2762692.035457333,1,1,1,1,0,3,0,16576152.212744,9,3,0,1,1
10_6,10,6,2024-01-01 08:01:45.649799,2024-07-23 22:50:17.279206,10,6,231.5142227428201,1964323.5143785556,1,1,1,1,1,1,4,17678911.629407,8,0,0,1,0
10_7,10,7,2024-02-03 19:47:31.931499,2024-07-09 19:43:15.404979,6,5,700.3517953782518,2712908.6946960003,0,1,0,1,1,0,3,13564543.47348,19,5,0,1,0
10_8,10,8,2024-01-07 04:22:22.784359,2024-06-22 03:04:57.747453,6,0,0.0,2884830.9926188,2,0,2,0,2,0,0,14424154.963094,4,6,0,1,1
10_9,10,9,2024-01-08 08:47:03.863608,2024-07-14 03:04:46.387682,10,5,572.1229366465818,1802518.0582304446,3,0,1,2,1,0,3,16222662.524074,8,0,0,1,0
110_1,110,1,2024-02-25 14:19:50.805546,2024-07-11 04:30:05.666081,7,2,256.44933961448686,1966902.4767558333,1,0,0,1,2,2,1,11801414.860535,14,6,0,1,0
110_10,110,10,2024-01-05 21:51:34.614623,2024-07-15 14:39:16.470874,6,1,0.0,3312572.3712502,2,1,0,0,1,2,0,16562861.856251,21,4,0,1,1
110_2,110,2,2024-01-26 07:24:36.764105,2024-05-02 06:46:43.549731,7,3,0.0,1396421.1309376666,2,1,0,2,1,1,0,8378526.785626,7,4,0,1,1
110_3,110,3,2024-02-11 21:57:55.078410,2024-07-11 09:32:18.785299,6,1,0.0,2600332.7413778,2,0,0,1,2,1,0,13001663.706889,21,6,0,1,1
110_4,110,4,2024-01-29 00:24:51.225158,2024-06-07 07:55:01.859667,10,4,0.0,1251001.1816121112,1,1,4,3,1,0,0,11259010.634509,0,0,0,1,1
110_5,110,5,2024-02-05 17:43:41.080382,2024-06-18 02:05:17.251941,6,3,529.5630929763074,2304259.2343118,1,0,0,1,1,1,2,11521296.171559,17,0,0,1,0
110_6,110,6,2024-02-25 02:04:57.570784,2024-07-21 06:49:04.881132,7,3,424.4150076489152,2119641.2183913332,0,2,1,0,0,3,1,12717847.310348,2,6,0,0,0
110_7,110,7,2024-01-18 07:09:01.734919,2024-05-31 13:45:20.700724,5,1,75.97042465679714,2900344.74145125,1,0,0,0,1,2,1,11601378.965805,7,3,0,1,0
110_8,110,8,2024-02-05 00:54:35.719370,2024-06-01 03:37:15.632357,10,6,120.65695562793772,1124284.4347763332,1,5,2,0,1,0,1,10118559.912987,0,0,0,1,0
110_9,110,9,2024-01-08 17:49:46.332768,2024-07-24 09:13:20.440475,10,5,712.4711517073807,1897357.1230785558,1,1,1,0,1,2,4,17076214.107707,17,0,0,1,0
111_1,111,1,2024-02-05 20:44:18.572239,2024-07-22 15:47:44.912316,5,3,0.0,3624351.58501925,2,1,0,2,0,0,0,14497406.340077,20,0,0,1,1
111_10,111,10,2024-01-31 18:28:07.909150,2024-07-14 15:43:38.075639,10,3,29.37626240577196,1582903.3518321111,2,0,3,2,1,1,1,14246130.166489,18,2,0,1,0
